Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,Adjectives_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0107.b6.txt,1744.63,1201.01,404.55,859.67,1,0,1
0137.b6.txt,1743.73,1241.74,528.4,898.28,1,0,1
0151.b6.txt,1513.65,1315.14,558.31,657.57,3,0,0
0157.b6.txt,1215.85,1379.78,628.42,683.06,2,0,0
0158.b6.txt,1520.0,1245.71,651.43,742.86,2,0,0
0178.b6.txt,1748.69,1109.95,554.97,879.58,1,0,2
0185.b6.txt,1605.11,1292.61,411.93,724.43,2,0,0
0198.b6.txt,1539.57,1179.86,446.04,719.42,3,0,0
0219.b6.txt,1692.09,1303.74,360.61,527.05,1,0,0
0223.b6.txt,1701.6,1196.05,628.85,665.84,3,0,0
0238.b6.txt,1383.15,1399.05,413.35,794.91,3,0,0
0318.b6.txt,1750.97,972.76,447.47,846.3,5,0,2
